IstTimestamp,cSum
2019-02-11 09:50:14.413,1
2019-02-11 09:50:19.535,2
2019-02-11 09:50:20.165,3
2019-02-11 09:50:20.924,4
2019-02-11 09:52:28.426,5
2019-02-11 09:52:29.468,6
2019-02-11 09:52:30.334,7
2019-02-11 09:53:38.064,8
2019-02-11 09:55:23.302,9
2019-02-11 09:55:26.850,10
2019-02-11 09:55:29.310,11
2019-02-11 09:55:31.801,12
2019-02-11 09:55:33.935,13
2019-02-11 09:55:35.859,14
2019-02-11 09:55:37.789,15
2019-02-11 09:55:40.369,16
2019-02-11 09:56:00.511,17
2019-02-11 09:56:02.674,18
2019-02-11 09:56:05.484,19
2019-02-11 09:56:07.494,20
2019-02-11 09:56:15.424,21
2019-02-11 09:56:17.644,22
2019-02-11 09:56:19.402,23
2019-02-11 09:56:37.966,24
2019-02-11 09:56:39.424,25
2019-02-11 09:56:40.724,26
2019-02-11 09:56:42.244,27
2019-02-11 09:56:43.674,28
2019-02-11 09:56:45.244,29
2019-02-11 09:56:50.743,30
2019-02-11 09:56:52.524,31
2019-02-11 09:56:57.042,32
2019-02-11 09:57:03.494,33
2019-02-11 09:58:10.039,34
2019-02-11 09:58:50.142,35
2019-02-11 09:58:51.873,36
2019-02-11 09:58:53.645,37
2019-02-11 09:58:56.685,38
2019-02-11 09:59:22.082,39
2019-02-11 09:59:45.484,40
2019-02-11 09:59:56.309,41
2019-02-11 10:00:23.564,42
2019-02-11 10:00:59.863,43
2019-02-11 10:01:08.574,44
2019-02-11 10:01:12.724,45
2019-02-11 10:02:03.117,46
2019-02-11 10:02:35.612,47
2019-02-11 10:02:47.920,48
2019-02-11 10:02:52.520,49
2019-02-11 10:02:58.570,50
2019-02-11 10:03:00.260,51
2019-02-11 10:03:02.239,52
2019-02-11 10:03:03.970,53
2019-02-11 10:03:06.789,54
2019-02-11 10:03:09.909,55
2019-02-11 10:03:14.821,56
2019-02-11 10:03:17.790,57
2019-02-11 10:03:21.179,58
2019-02-11 10:03:24.589,59
2019-02-11 10:03:27.141,60
2019-02-11 10:03:30.250,61
2019-02-11 10:03:32.840,62
2019-02-11 10:03:35.589,63
2019-02-11 10:03:45.289,64
2019-02-11 10:03:51.621,65
2019-02-11 10:04:24.807,66
2019-02-11 10:04:31.327,67
2019-02-11 10:04:38.850,68
2019-02-11 10:04:47.212,69
2019-02-11 10:05:03.349,70
2019-02-11 10:05:08.600,71
2019-02-11 10:05:15.559,72
2019-02-11 10:05:22.280,73
2019-02-11 10:05:28.775,74
2019-02-11 10:05:31.819,75
2019-02-11 10:05:35.231,76
2019-02-11 10:05:39.519,77
2019-02-11 10:06:34.020,78
2019-02-11 10:06:46.633,79
2019-02-11 10:06:52.410,80
2019-02-11 10:06:58.550,81
2019-02-11 10:07:03.189,82
2019-02-11 10:07:38.173,83
2019-02-11 10:07:44.045,84
2019-02-11 10:07:53.581,85
2019-02-11 10:08:14.130,86
2019-02-11 10:08:23.292,87
2019-02-11 10:08:25.850,88
2019-02-11 10:08:28.229,89
2019-02-11 10:08:30.339,90
2019-02-11 10:08:35.575,91
2019-02-11 10:08:42.340,92
2019-02-11 10:08:46.659,93
2019-02-11 10:08:51.669,94
2019-02-11 10:09:01.492,95
2019-02-11 10:09:05.710,96
2019-02-11 10:09:15.089,97
2019-02-11 10:09:20.942,98
2019-02-11 10:09:43.465,99
2019-02-11 10:10:08.611,100
2019-02-11 10:10:22.764,101
2019-02-11 10:10:56.970,102
2019-02-11 10:11:07.713,103
2019-02-11 10:11:17.210,104
2019-02-11 10:11:20.961,105
2019-02-11 10:11:25.810,106
2019-02-11 10:11:30.879,107
2019-02-11 10:11:34.949,108
2019-02-11 10:11:48.300,109
2019-02-11 10:12:08.783,110
2019-02-11 10:12:13.670,111
2019-02-11 10:12:20.082,112
2019-02-11 10:12:22.760,113
2019-02-11 10:12:27.522,114
2019-02-11 10:12:32.790,115
2019-02-11 10:12:39.600,116
2019-02-11 10:12:42.949,117
2019-02-11 10:12:45.070,118
2019-02-11 10:12:48.250,119
2019-02-11 10:12:54.042,120
2019-02-11 10:12:59.695,121
2019-02-11 10:13:02.880,122
2019-02-11 10:13:08.749,123
2019-02-11 10:13:22.734,124
2019-02-11 10:13:27.359,125
2019-02-11 10:13:33.119,126
2019-02-11 10:13:39.276,127
2019-02-11 10:13:59.643,126
2019-02-11 10:14:13.240,127
2019-02-11 10:14:18.476,128
2019-02-11 10:14:32.689,129
2019-02-11 10:15:02.985,130
2019-02-11 10:15:14.859,129
2019-02-11 10:15:20.541,130
2019-02-11 10:15:35.024,131
2019-02-11 10:15:43.956,132
2019-02-11 10:15:52.764,133
2019-02-11 10:16:54.924,134
2019-02-11 10:16:59.469,135
2019-02-11 10:17:05.980,136
2019-02-11 10:17:15.222,137
2019-02-11 10:17:17.751,138
2019-02-11 10:17:20.499,139
2019-02-11 10:17:25.479,140
2019-02-11 10:17:30.164,141
2019-02-11 10:17:33.290,142
2019-02-11 10:17:39.690,143
2019-02-11 10:17:43.312,144
